Word,Freq_NoWaC,Freq_CDS
292,'stairs',12647.0,1.0
293,'TV',58063.0,9.0
294,'sink',6876.0,6.0
295,'washing machine',2887.0,2.0
296,'window',30472.0,31.0
297,'pool',268.0,2.0
298,'backyard',2581.0,1.0
299,'flower',16242.0,30.0
300,'mountain',34010.0,1.0
301,'flag',10441.0,1.0
302,'sidewalk',2704.0,1.0
303,'grass',10258.0,2.0
304,'lawn mower',657.0,6.0
305,'sky',27605.0,1.0
306,'swing',14753.0,128.0
307,'sled',312.0,6.0
308,'moon',8110.0,16.0
309,'stick',5990.0,2.0
310,'rain',19954.0,1.0
311,'sandbox',1061.0,5.0
312,'slide',430.0,2.0
313,'clouds',9652.0,3.0
314,'snow',25916.0,4.0
315,'snowman',695.0,2.0
316,'sun',47810.0,14.0
317,'spade',3268.0,22.0
318,'rocks',20532.0,5.0
319,'ladder',4002.0,3.0
320,'stars',37996.0,12.0
321,'roof',80784.0,11.0
322,'trampoline',698.0,1.0
323,'tree',21156.0,47.0
324,'water',128365.0,61.0
325,'hose',218.0,1.0
326,'street',242681.0,36.0
327,'wind',26281.0,1.0
328,'gas station',4120.0,1.0
329,'farm',753.0,5.0
330,'store',63212.0,3.0
331,'downtown',287890.0,10.0
332,'camping site',3425.0,1.0
333,'zoo',781.0,2.0
334,'party',32675.0,2.0
335,'yard',19445.0,6.0
336,'home',25005.0,7.0
337,'house',111408.0,32.0
338,'work',203898.0,4.0
339,'cinema',25031.0,1.0
340,'church',75007.0,1.0
341,'the countryside',,
342,'playground',2281.0,3.0
343,'park',14131.0,19.0
344,'circus',3908.0,1.0
345,'the woods',42463.0,1.0
346,'school',250915.0,28.0
347,'beach',21420.0,2.0
348,'swimming pool',1887.0,1.0
349,'outside',1371838.0,181.0
350,'baby',16739.0,33.0
351,'child',438387.0,21.0
352,'child's own name',,317.0
353,'babysitter's name',,
354,'grandfather',6554.0,1.0
355,'grandmother',8557.0,2.0
356,'farmer',26702.0,2.0
357,'fireman',1764.0,2.0
358,'brother',34283.0,1.0
359,'cowboy',1734.0,8.0
360,'lady',59469.0,22.0
361,'doctor',3664.0,5.0
362,'(paternal) grandfather',2063.0,1.0
363,'(paternal) grandmother',1905.0,1.0
364,'people',384521.0,2.0
365,'boy',134986.0,37.0
366,'nurse',4949.0,1.0
